CMDLINE /home/tl/projects/learning/natural-language-processing/stanford-cs336/assignment1-basics/.venv/bin/python3 profile_train_bpe.py
MEM 0.375000 1753074166.5338
MEM 23.476562 1753074166.6345
MEM 35.800781 1753074166.7350
MEM 46.253906 1753074166.8355
MEM 57.003906 1753074166.9377
MEM 103.128906 1753074167.0383
MEM 204.128906 1753074167.1390
MEM 263.878906 1753074167.2395
MEM 288.253906 1753074167.3401
MEM 311.628906 1753074167.4406
MEM 352.253906 1753074167.5412
MEM 360.316406 1753074167.6417
MEM 370.191406 1753074167.7421
MEM 376.691406 1753074167.8425
MEM 378.566406 1753074167.9432
MEM 382.441406 1753074168.0438
MEM 385.691406 1753074168.1443
MEM 388.941406 1753074168.2449
MEM 391.941406 1753074168.3453
MEM 397.316406 1753074168.4458
MEM 401.691406 1753074168.5463
MEM 402.066406 1753074168.6467
MEM 402.066406 1753074168.7540
MEM 402.066406 1753074168.8545
MEM 402.066406 1753074168.9553
MEM 402.066406 1753074169.0557
MEM 402.066406 1753074169.1581
MEM 402.066406 1753074169.2590
MEM 402.066406 1753074169.3599
MEM 402.066406 1753074169.4614
MEM 402.066406 1753074169.5619
MEM 402.066406 1753074169.6700
MEM 402.066406 1753074169.7710
MEM 402.066406 1753074169.8720
MEM 402.066406 1753074169.9738
MEM 402.066406 1753074170.0775
MEM 402.066406 1753074170.1793
MEM 402.066406 1753074170.2918
MEM 402.066406 1753074170.3930
MEM 402.066406 1753074170.4988
MEM 402.066406 1753074170.6013
MEM 402.066406 1753074170.7018
MEM 402.066406 1753074170.8022
MEM 402.066406 1753074170.9026
MEM 402.066406 1753074171.0030
MEM 402.066406 1753074171.1034
MEM 402.066406 1753074171.2063
MEM 402.066406 1753074171.3070
MEM 402.066406 1753074171.4077
MEM 402.066406 1753074171.5126
MEM 402.066406 1753074171.6131
MEM 402.066406 1753074171.7136
MEM 402.066406 1753074171.8139
MEM 402.066406 1753074171.9143
MEM 402.066406 1753074172.0147
MEM 402.066406 1753074172.1184
MEM 402.066406 1753074172.2220
MEM 402.066406 1753074172.3275
MEM 402.066406 1753074172.4300
MEM 402.066406 1753074172.5332
MEM 402.066406 1753074172.6342
MEM 402.066406 1753074172.7378
MEM 402.066406 1753074172.8387
MEM 402.066406 1753074172.9391
MEM 402.066406 1753074173.0413
MEM 402.066406 1753074173.1454
MEM 402.066406 1753074173.2480
MEM 402.066406 1753074173.3485
MEM 402.066406 1753074173.4495
MEM 402.066406 1753074173.5499
MEM 402.066406 1753074173.6504
MEM 402.066406 1753074173.7510
MEM 402.066406 1753074173.8514
MEM 402.066406 1753074173.9518
MEM 402.066406 1753074174.0532
MEM 402.066406 1753074174.1537
MEM 402.066406 1753074174.2541
MEM 402.066406 1753074174.3585
