CMDLINE /home/tl/projects/learning/natural-language-processing/stanford-cs336/assignment1-basics/.venv/bin/python3 profile_train_bpe.py
MEM 0.375000 1753074219.0640
MEM 25.351562 1753074219.1642
MEM 38.550781 1753074219.2646
MEM 47.878906 1753074219.3650
MEM 60.503906 1753074219.4653
MEM 138.753906 1753074219.5656
MEM 262.128906 1753074219.6661
MEM 287.003906 1753074219.7665
MEM 320.878906 1753074219.8673
MEM 356.628906 1753074219.9681
MEM 361.113281 1753074220.0685
MEM 372.613281 1753074220.1693
MEM 377.738281 1753074220.2702
MEM 379.738281 1753074220.3707
MEM 384.863281 1753074220.4712
MEM 388.863281 1753074220.5716
MEM 395.238281 1753074220.6720
MEM 401.738281 1753074220.7723
MEM 402.113281 1753074220.8727
MEM 402.113281 1753074220.9734
MEM 402.113281 1753074221.0740
MEM 402.113281 1753074221.1747
MEM 402.113281 1753074221.2752
MEM 402.113281 1753074221.3757
MEM 402.113281 1753074221.4774
MEM 402.113281 1753074221.5782
MEM 402.113281 1753074221.6838
MEM 402.113281 1753074221.7842
MEM 402.113281 1753074221.8872
MEM 402.113281 1753074221.9894
MEM 402.113281 1753074222.0902
MEM 402.113281 1753074222.1940
MEM 402.113281 1753074222.2951
MEM 402.113281 1753074222.3962
MEM 402.113281 1753074222.5046
MEM 402.113281 1753074222.6128
MEM 402.113281 1753074222.7179
MEM 402.113281 1753074222.8229
MEM 402.113281 1753074222.9248
MEM 402.113281 1753074223.0263
MEM 402.113281 1753074223.1641
MEM 402.113281 1753074223.2665
MEM 402.113281 1753074223.3724
MEM 402.113281 1753074223.4731
MEM 402.113281 1753074223.5737
MEM 402.113281 1753074223.6743
MEM 402.113281 1753074223.7770
MEM 402.113281 1753074223.8899
MEM 402.113281 1753074223.9914
MEM 402.113281 1753074224.0984
MEM 402.113281 1753074224.2012
MEM 402.113281 1753074224.3098
MEM 402.113281 1753074224.4105
MEM 402.113281 1753074224.5353
MEM 402.113281 1753074224.6386
MEM 402.113281 1753074224.7395
MEM 402.113281 1753074224.8417
MEM 402.113281 1753074224.9425
MEM 402.113281 1753074225.0495
MEM 402.113281 1753074225.1506
MEM 402.113281 1753074225.2512
MEM 402.113281 1753074225.3532
MEM 402.113281 1753074225.4549
MEM 402.113281 1753074225.5556
MEM 402.113281 1753074225.6657
MEM 402.113281 1753074225.7664
MEM 402.113281 1753074225.8669
MEM 402.113281 1753074225.9677
MEM 402.113281 1753074226.0686
MEM 402.113281 1753074226.1761
MEM 402.113281 1753074226.2771
MEM 402.113281 1753074226.3784
MEM 402.113281 1753074226.4799
MEM 402.113281 1753074226.5830
MEM 402.113281 1753074226.6839
MEM 402.113281 1753074226.7844
MEM 402.113281 1753074226.8852
MEM 401.863281 1753074227.0220
MEM 401.863281 1753074227.1259
MEM 399.238281 1753074227.2278
MEM 361.738281 1753074227.3286
MEM 357.488281 1753074227.4311
MEM 357.488281 1753074227.5317
MEM 357.488281 1753074227.6324
MEM 357.488281 1753074227.7332
MEM 356.238281 1753074227.8378
MEM 355.113281 1753074227.9382
MEM 355.113281 1753074228.0407
MEM 354.863281 1753074228.1413
MEM 354.863281 1753074228.2422
MEM 354.863281 1753074228.3427
MEM 354.863281 1753074228.4436
MEM 354.863281 1753074228.5441
MEM 354.863281 1753074228.6445
MEM 354.863281 1753074228.7451
MEM 354.863281 1753074228.8454
MEM 354.863281 1753074228.9457
MEM 354.863281 1753074229.0461
MEM 354.863281 1753074229.1467
MEM 354.863281 1753074229.2472
MEM 354.863281 1753074229.3475
MEM 354.863281 1753074229.4480
MEM 354.863281 1753074229.6730
MEM 354.863281 1753074229.7736
MEM 354.863281 1753074229.8742
MEM 354.863281 1753074229.9747
MEM 354.863281 1753074230.0752
MEM 354.863281 1753074230.1757
MEM 354.863281 1753074230.2761
