CMDLINE /home/tl/projects/learning/natural-language-processing/stanford-cs336/assignment1-basics/.venv/bin/python3 profile_train_bpe.py
MEM 412.914062 1753079884.0671
MEM 412.914062 1753079884.1674
MEM 412.914062 1753079884.2678
MEM 412.914062 1753079884.3682
MEM 412.914062 1753079884.4687
MEM 412.914062 1753079884.5691
MEM 412.914062 1753079884.6694
MEM 412.914062 1753079884.7699
MEM 412.914062 1753079884.8702
MEM 412.914062 1753079884.9705
MEM 412.914062 1753079885.0708
MEM 412.914062 1753079885.1712
MEM 412.523438 1753079885.2718
MEM 412.523438 1753079885.3721
MEM 412.523438 1753079885.4726
MEM 412.523438 1753079885.5732
MEM 412.523438 1753079885.6737
MEM 412.523438 1753079885.7741
MEM 412.523438 1753079885.8747
MEM 412.523438 1753079885.9752
MEM 412.523438 1753079886.0756
MEM 412.523438 1753079886.1761
MEM 412.523438 1753079886.2765
MEM 412.523438 1753079886.3771
MEM 412.523438 1753079886.4775
MEM 412.523438 1753079886.5780
MEM 412.523438 1753079886.6785
MEM 412.523438 1753079886.7789
MEM 412.523438 1753079886.8793
MEM 412.523438 1753079886.9798
MEM 412.523438 1753079887.0803
MEM 412.523438 1753079887.1807
MEM 412.523438 1753079887.2812
MEM 412.523438 1753079887.3815
MEM 412.523438 1753079887.4818
MEM 412.523438 1753079887.5821
MEM 412.523438 1753079887.6824
MEM 412.523438 1753079887.7828
MEM 412.523438 1753079887.8831
MEM 412.523438 1753079887.9835
MEM 412.523438 1753079888.0839
MEM 412.523438 1753079888.1843
MEM 412.523438 1753079888.2850
MEM 412.523438 1753079888.3855
MEM 412.523438 1753079888.4859
MEM 412.523438 1753079888.5861
MEM 412.523438 1753079888.6868
MEM 412.523438 1753079888.7872
MEM 412.523438 1753079888.8876
MEM 412.523438 1753079888.9880
MEM 412.523438 1753079889.0883
MEM 412.523438 1753079889.1887
MEM 412.523438 1753079889.2891
MEM 412.523438 1753079889.3896
MEM 412.523438 1753079889.4899
MEM 412.523438 1753079889.5905
MEM 412.523438 1753079889.6910
MEM 412.523438 1753079889.7915
MEM 412.523438 1753079889.8919
MEM 412.523438 1753079889.9924
MEM 412.523438 1753079890.0928
MEM 412.523438 1753079890.1933
MEM 412.523438 1753079890.2937
MEM 412.523438 1753079890.3943
MEM 412.523438 1753079890.4946
MEM 412.523438 1753079890.5949
MEM 412.523438 1753079890.6954
MEM 412.523438 1753079890.7958
MEM 412.523438 1753079890.8962
MEM 412.523438 1753079890.9966
MEM 412.523438 1753079891.0970
MEM 412.523438 1753079891.1973
MEM 412.523438 1753079891.2976
MEM 412.523438 1753079891.3981
MEM 412.523438 1753079891.4984
MEM 412.648438 1753079891.5987
MEM 412.648438 1753079891.6992
MEM 412.648438 1753079891.7996
MEM 412.648438 1753079891.9000
MEM 412.648438 1753079892.0005
MEM 412.648438 1753079892.1009
MEM 412.648438 1753079892.2012
MEM 412.648438 1753079892.3016
MEM 412.648438 1753079892.4020
MEM 412.648438 1753079892.5024
MEM 412.648438 1753079892.6029
MEM 412.648438 1753079892.7033
MEM 412.648438 1753079892.8036
MEM 412.648438 1753079892.9039
MEM 412.648438 1753079893.0042
MEM 412.648438 1753079893.1047
MEM 412.648438 1753079893.2051
MEM 412.648438 1753079893.3055
MEM 412.648438 1753079893.4059
MEM 412.648438 1753079893.5063
MEM 412.648438 1753079893.6067
MEM 412.648438 1753079893.7070
MEM 412.648438 1753079893.8075
MEM 412.648438 1753079893.9080
MEM 412.648438 1753079894.0082
MEM 412.648438 1753079894.1086
MEM 412.648438 1753079894.2090
MEM 412.648438 1753079894.3094
MEM 412.648438 1753079894.4098
MEM 412.648438 1753079894.5102
MEM 412.648438 1753079894.6105
MEM 412.648438 1753079894.7109
MEM 412.648438 1753079894.8113
MEM 412.648438 1753079894.9118
MEM 412.648438 1753079895.0121
